,Year,Type,Distance_km,Stage
1100,1969,Stage with mountains,241.0,1
1101,1969,Team time trial,16.0,1
1102,1970,Individual time trial,7.2,1
1103,1970,Individual time trial,7.4,1
1104,1970,Individual time trial,8.2,1
1105,1970,Individual time trial,8.8,1
1106,1970,Individual time trial,54.0,1
1107,1970,Flat,94.5,1
1108,1970,Flat,120.0,1
1109,1970,Flat,135.5,1
1110,1970,Flat,140.0,1
1111,1970,Flat,140.5,1
1112,1970,Flat,160.0,1
1113,1970,Flat,190.0,1
1114,1970,Flat,191.5,1
1115,1970,Flat,200.0,1
1116,1970,Flat,223.0,1
1117,1970,Flat,223.5,1
1118,1970,Flat,224.5,1
1119,1970,Flat,229.0,1
1120,1970,Flat,232.5,1
1121,1970,Flat,238.5,1
1122,1970,Stage with mountains,135.5,1
